tf,feature,unique,min,max,NaN
M5,score,6,0.0,5.0,0
M5,num_confs,6,0.0,5.0,0
M5,pattern_code,6,0.0,5.0,0
M5,bias_bull,1,0.0,0.0,0
M5,hour,23,0.0,23.0,0
M5,dow,4,0.0,6.0,0
M5,atr,486,0.8790714285714785,3.312357142857146,13
M15,score,6,0.0,5.0,0
M15,num_confs,6,0.0,5.0,0
M15,pattern_code,6,0.0,5.0,0
M15,bias_bull,1,0.0,0.0,0
M15,hour,23,0.0,23.0,0
M15,dow,6,0.0,6.0,0
M15,atr,500,1.7476428571428642,12.749785714285736,0
H1,score,6,0.0,5.0,0
H1,num_confs,6,0.0,5.0,0
H1,pattern_code,6,0.0,5.0,0
H1,bias_bull,1,0.0,0.0,0
H1,hour,23,0.0,23.0,0
H1,dow,6,0.0,6.0,0
H1,atr,500,4.875285714285708,15.308642857142884,0
H4,score,6,0.0,5.0,0
H4,num_confs,6,0.0,5.0,0
H4,pattern_code,6,0.0,5.0,0
H4,bias_bull,1,0.0,0.0,0
H4,hour,6,0.0,20.0,0
H4,dow,6,0.0,6.0,0
H4,atr,500,9.237500000000182,49.455357142857146,0
D1,score,6,0.0,5.0,0
D1,num_confs,6,0.0,5.0,0
D1,pattern_code,6,0.0,5.0,0
D1,bias_bull,1,0.0,0.0,0
D1,hour,1,0.0,0.0,0
D1,dow,6,0.0,6.0,0
D1,atr,500,15.36299999999996,85.18100000000001,0
