exit_bar,entry_bar,side,entry_price,exit_price,reward_pips
122,0,LONG,3348.475,3329.347,-191.27999999999702
128,122,SHORT,3329.347,3331.362,-20.149999999998727
214,128,LONG,3331.362,3344.135,127.73000000000138
224,214,SHORT,3344.135,3339.264,48.710000000000946
226,224,LONG,3339.264,3338.262,-10.019999999999527
227,226,SHORT,3338.262,3339.284,-10.219999999999345
306,227,LONG,3339.284,3340.661,13.769999999999527
323,306,SHORT,3340.661,3335.057,56.04000000000269
326,323,LONG,3335.057,3339.594,45.37000000000262
330,326,SHORT,3339.594,3336.998,25.960000000000036
499,330,LONG,3336.998,3389.054,520.5600000000004
