exit_bar,entry_bar,side,entry_price,exit_price,reward_pips
4,0,LONG,3083.741,3107.138,233.96999999999935
5,4,SHORT,3107.138,3124.523,-173.85000000000218
10,5,LONG,3124.523,3146.028,215.04999999999654
11,10,SHORT,3146.028,3127.638,183.89999999999873
16,11,LONG,3127.638,3125.489,-21.489999999998872
19,16,SHORT,3125.489,3125.883,-3.939999999997781
25,19,LONG,3125.883,3110.521,-153.61999999999625
26,25,SHORT,3110.521,3107.593,29.280000000003383
28,26,LONG,3107.593,3098.409,-91.83999999999742
31,28,SHORT,3098.409,3021.951,764.5800000000008
35,31,LONG,3021.951,3018.922,-30.289999999999964
38,35,SHORT,3018.922,2987.558,313.6400000000003
47,38,LONG,2987.558,3004.464,169.0599999999995
48,47,SHORT,3004.464,3041.091,-366.2699999999995
53,48,LONG,3041.091,3125.406,843.1500000000005
55,53,SHORT,3125.406,3124.648,7.579999999998108
59,55,LONG,3124.648,3217.686,930.3800000000001
60,59,SHORT,3217.686,3212.415,52.710000000001855
61,60,LONG,3212.415,3213.872,14.5699999999988
62,61,SHORT,3213.872,3240.577,-267.0500000000038
65,62,LONG,3240.577,3223.733,-168.4400000000005
67,65,SHORT,3223.733,3228.013,-42.79999999999745
72,67,LONG,3228.013,3228.304,2.9100000000016735
73,72,SHORT,3228.304,3225.671,26.330000000002656
75,73,LONG,3225.671,3221.371,-42.99999999999727
76,75,SHORT,3221.371,3229.793,-84.22000000000025
84,76,LONG,3229.793,3344.529,1147.3599999999988
87,84,SHORT,3344.529,3296.431,480.97999999999956
92,87,LONG,3296.431,3385.082,886.5099999999984
93,92,SHORT,3385.082,3404.443,-193.6100000000033
103,93,LONG,3404.443,3338.878,-655.6500000000005
106,103,SHORT,3338.878,3280.352,585.260000000003
109,106,LONG,3280.352,3327.074,467.2200000000021
110,109,SHORT,3327.074,3333.586,-65.11999999999716
111,110,LONG,3333.586,3336.917,33.31000000000131
113,111,SHORT,3336.917,3342.226,-53.090000000001965
115,113,LONG,3342.226,3323.655,-185.70999999999913
117,115,SHORT,3323.655,3293.455,302.00000000000273
119,117,LONG,3293.455,3304.818,113.63000000000284
120,119,SHORT,3304.818,3318.798,-139.79999999999563
121,120,LONG,3318.798,3302.739,-160.58999999999742
125,121,SHORT,3302.739,3325.005,-222.66000000000076
128,125,LONG,3325.005,3316.03,-89.74999999999909
129,128,SHORT,3316.03,3323.042,-70.11999999999716
131,129,LONG,3323.042,3312.455,-105.86999999999989
132,131,SHORT,3312.455,3320.535,-80.79999999999927
134,132,LONG,3320.535,3304.753,-157.81999999999698
135,134,SHORT,3304.753,3307.203,-24.49999999999818
137,135,LONG,3307.203,3307.955,7.519999999999527
138,137,SHORT,3307.955,3295.883,120.72000000000116
141,138,LONG,3295.883,3230.192,-656.909999999998
142,141,SHORT,3230.192,3205.502,246.90000000000055
147,142,LONG,3205.502,3258.895,533.9300000000003
148,147,SHORT,3258.895,3262.698,-38.029999999998836
150,148,LONG,3262.698,3233.555,-291.4300000000003
151,150,SHORT,3233.555,3240.947,-73.9200000000028
153,151,LONG,3240.947,3254.585,136.3799999999992
154,153,SHORT,3254.585,3264.76,-101.75000000000182
156,154,LONG,3264.76,3312.065,473.04999999999836
157,156,SHORT,3312.065,3328.793,-167.28000000000065
159,157,LONG,3328.793,3360.401,316.0799999999972
160,159,SHORT,3360.401,3371.2,-107.98999999999978
165,160,LONG,3371.2,3375.541,43.41000000000349
166,165,SHORT,3375.541,3388.016,-124.74999999999909
167,166,LONG,3388.016,3387.083,-9.329999999999927
169,167,SHORT,3387.083,3371.904,151.79000000000087
171,169,LONG,3371.904,3396.864,249.60000000000036
175,171,SHORT,3396.864,3306.384,904.8000000000002
177,175,LONG,3306.384,3308.106,17.220000000002074
179,177,SHORT,3308.106,3332.964,-248.5799999999972
181,179,LONG,3332.964,3328.802,-41.61999999999807
182,181,SHORT,3328.802,3326.805,19.970000000002983
186,182,LONG,3326.805,3224.862,-1019.4299999999976
187,186,SHORT,3224.862,3239.262,-144.0000000000009
190,187,LONG,3239.262,3236.743,-25.19000000000233
192,190,SHORT,3236.743,3249.167,-124.23999999999978
196,192,LONG,3249.167,3228.366,-208.0099999999993
197,196,SHORT,3228.366,3238.085,-97.19000000000051
200,197,LONG,3238.085,3180.587,-574.9800000000005
201,200,SHORT,3180.587,3186.128,-55.41000000000167
202,201,LONG,3186.128,3150.594,-355.34000000000106
205,202,SHORT,3150.594,3219.74,-691.4599999999973
208,205,LONG,3219.74,3211.889,-78.50999999999658
210,208,SHORT,3211.889,3163.124,487.6500000000033
215,210,LONG,3163.124,3212.27,491.46000000000186
216,215,SHORT,3212.27,3232.349,-200.79000000000178
221,216,LONG,3232.349,3211.407,-209.42000000000007
223,221,SHORT,3211.407,3241.138,-297.3099999999977
227,223,LONG,3241.138,3307.544,664.0599999999995
229,227,SHORT,3307.544,3311.177,-36.330000000002656
230,229,LONG,3311.177,3311.978,8.009999999999309
231,230,SHORT,3311.978,3318.389,-64.11000000000058
233,231,LONG,3318.389,3335.44,170.5099999999993
235,233,SHORT,3335.44,3314.466,209.7400000000016
239,235,LONG,3314.466,3302.07,-123.95999999999731
241,239,SHORT,3302.07,3347.926,-458.5599999999977
243,241,LONG,3347.926,3360.785,128.58999999999924
244,243,SHORT,3360.785,3356.306,44.789999999998145
246,244,LONG,3356.306,3347.636,-86.70000000000073
247,246,SHORT,3347.636,3337.296,103.40000000000146
252,247,LONG,3337.296,3341.217,39.210000000002765
253,252,SHORT,3341.217,3296.244,449.72999999999956
258,253,LONG,3296.244,3297.757,15.1299999999992
260,258,SHORT,3297.757,3311.143,-133.85999999999967
264,260,LONG,3311.143,3274.551,-365.920000000001
265,264,SHORT,3274.551,3286.607,-120.5600000000004
270,265,LONG,3286.607,3294.531,79.23999999999978
274,270,SHORT,3294.531,3294.826,-2.9500000000007276
277,274,LONG,3294.826,3308.701,138.75
278,277,SHORT,3308.701,3352.579,-438.78000000000156
283,278,LONG,3352.579,3361.087,85.07999999999811
286,283,SHORT,3361.087,3350.304,107.82999999999902
289,286,LONG,3350.304,3359.246,89.42000000000007
291,289,SHORT,3359.246,3346.577,126.68999999999869
