exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced
49,0,LONG,2032.813,2025.266,-75.47000000000025,50,True
99,50,LONG,2018.65,2335.429,3167.79,50,True
149,100,LONG,2377.0,2293.799,-832.0100000000002,50,True
199,150,LONG,2298.478,2404.837,1063.5899999999992,50,True
249,200,LONG,2383.787,2660.328,2765.4100000000017,50,True
299,250,LONG,2655.804,2655.23,-5.740000000000691,50,True
349,300,LONG,2645.659,2741.71,960.5099999999993,50,True
399,350,LONG,2762.702,3021.623,2589.209999999998,50,True
449,400,LONG,3055.71,3342.713,2870.0300000000016,50,True
499,450,LONG,3346.139,3396.532,503.9300000000003,49,True
