exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced
19,0,LONG,3344.74,3355.307,105.67000000000007,20,False
21,19,SHORT,3355.307,3363.372,-80.65000000000055,3,False
41,21,LONG,3363.372,3351.064,-123.07999999999993,21,False
43,41,SHORT,3351.064,3351.894,-8.299999999999272,3,False
44,43,LONG,3351.894,3352.476,5.820000000003347,2,False
45,44,SHORT,3352.476,3348.605,38.710000000000946,2,False
54,45,LONG,3348.605,3301.966,-466.39000000000124,10,False
55,54,SHORT,3301.966,3304.591,-26.25,2,False
73,55,LONG,3304.591,3325.265,206.73999999999978,19,False
74,73,SHORT,3325.265,3324.416,8.489999999997053,2,False
77,74,LONG,3324.416,3314.539,-98.76999999999953,4,False
78,77,SHORT,3314.539,3323.404,-88.64999999999782,2,False
88,78,LONG,3323.404,3330.222,68.18000000000211,11,False
89,88,SHORT,3330.222,3339.471,-92.48999999999796,2,False
133,89,LONG,3339.471,3264.626,-748.449999999998,45,False
135,133,SHORT,3264.626,3280.186,-155.59999999999945,3,False
181,135,LONG,3280.186,3336.704,565.1800000000003,47,False
183,181,SHORT,3336.704,3340.084,-33.799999999996544,3,False
212,183,LONG,3340.084,3353.04,129.5600000000013,30,False
220,212,SHORT,3353.04,3329.132,239.07999999999902,9,False
235,220,LONG,3329.132,3336.799,76.66999999999916,16,False
237,235,SHORT,3336.799,3333.931,28.67999999999938,3,False
240,237,LONG,3333.931,3332.393,-15.38000000000011,4,False
241,240,SHORT,3332.393,3335.07,-26.770000000001346,2,False
246,241,LONG,3335.07,3308.943,-261.2699999999995,6,False
247,246,SHORT,3308.943,3310.848,-19.049999999997453,2,False
296,247,LONG,3310.848,3292.194,-186.53999999999996,50,True
298,297,LONG,3291.852,3285.04,-68.11999999999898,2,False
300,298,SHORT,3285.04,3295.552,-105.12000000000171,3,False
327,300,LONG,3295.552,3314.931,193.78999999999905,28,False
331,327,SHORT,3314.931,3321.513,-65.8199999999988,5,False
380,331,LONG,3321.513,3345.72,242.0699999999988,50,True
429,381,LONG,3345.337,3343.905,-14.31999999999789,49,False
431,429,SHORT,3343.905,3341.486,24.190000000003238,3,False
440,431,LONG,3341.486,3313.06,-284.2599999999993,10,False
442,440,SHORT,3313.06,3334.143,-210.83000000000084,3,False
470,442,LONG,3334.143,3348.325,141.8199999999979,29,False
473,470,SHORT,3348.325,3349.122,-7.970000000000255,4,False
474,473,LONG,3349.122,3352.272,31.50000000000091,2,False
475,474,SHORT,3352.272,3356.425,-41.530000000002474,2,False
498,475,LONG,3356.425,3385.964,295.3899999999976,24,False
499,498,SHORT,3385.964,3385.964,0.0,1,True
