exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced
2,0,LONG,2032.813,2019.491,-133.22000000000116,3,True,True
9,3,LONG,2017.415,2054.497,370.8199999999988,7,False,False
10,9,SHORT,2054.497,2065.502,-110.05000000000109,2,True,True
12,11,LONG,2079.169,2066.564,-126.05000000000018,2,True,True
14,13,LONG,2062.838,2063.543,7.049999999999272,2,False,False
15,14,SHORT,2063.543,2059.476,40.67000000000007,2,False,False
16,15,LONG,2059.476,2042.666,-168.10000000000173,2,True,True
20,17,LONG,2043.865,2030.439,-134.2599999999993,4,True,True
28,21,LONG,2030.401,2009.243,-211.5800000000013,8,True,True
51,29,LONG,2023.423,1991.193,-322.3000000000002,23,True,True
68,52,LONG,1993.452,2114.48,1210.2800000000002,17,False,False
69,68,SHORT,2114.48,2128.162,-136.8199999999979,2,True,True
86,70,LONG,2147.192,2172.878,256.8600000000015,17,False,False
87,86,SHORT,2172.878,2179.466,-65.87999999999738,2,False,False
109,87,LONG,2179.466,2333.738,1542.7199999999993,23,False,False
110,109,SHORT,2333.738,2323.21,105.27999999999793,2,False,False
116,110,LONG,2323.21,2291.244,-319.65999999999894,7,True,True
118,117,LONG,2323.809,2304.247,-195.62000000000353,2,True,True
127,119,LONG,2301.627,2338.408,367.8099999999995,9,False,False
128,127,SHORT,2338.408,2355.772,-173.64000000000033,2,True,True
130,129,LONG,2391.769,2377.726,-140.42999999999665,2,True,True
135,131,LONG,2413.933,2382.124,-318.09000000000196,5,True,True
149,136,LONG,2332.012,2293.799,-382.1300000000019,14,True,True
169,150,LONG,2298.478,2332.222,337.4400000000014,20,False,False
170,169,SHORT,2332.222,2330.18,20.42000000000371,2,False,False
175,170,LONG,2330.18,2361.711,315.3099999999995,6,False,False
176,175,SHORT,2361.711,2364.966,-32.55000000000109,2,False,False
225,176,LONG,2364.966,2495.829,1308.6300000000028,50,True,False
227,226,LONG,2517.282,2497.54,-197.4200000000019,2,True,True
235,228,LONG,2496.869,2583.659,867.8999999999996,8,False,False
236,235,SHORT,2583.659,2574.05,96.08999999999924,2,False,False
237,236,LONG,2574.05,2559.239,-148.1100000000015,2,True,True
285,238,LONG,2587.282,2570.989,-162.9300000000012,48,True,True
295,286,LONG,2566.899,2610.46,435.6100000000015,10,False,False
296,295,SHORT,2610.46,2632.254,-217.9399999999987,2,True,True
301,297,LONG,2637.168,2642.211,50.42999999999665,5,False,False
302,301,SHORT,2642.211,2642.721,-5.100000000002183,2,False,False
315,302,LONG,2642.721,2588.225,-544.960000000001,14,True,True
361,316,LONG,2593.519,2917.847,3243.2800000000043,46,False,False
362,361,SHORT,2917.847,2898.536,193.1100000000015,2,False,False
365,362,LONG,2898.536,2882.772,-157.64000000000124,4,True,True
377,366,LONG,2879.221,2858.314,-209.07000000000153,12,True,True
385,378,LONG,2870.799,2884.685,138.85999999999967,8,False,False
386,385,SHORT,2884.685,2915.551,-308.65999999999985,2,True,True
391,387,LONG,2938.039,2999.831,617.9199999999992,5,False,False
392,391,SHORT,2999.831,3031.774,-319.42999999999756,2,True,True
395,393,LONG,3050.026,3023.493,-265.329999999999,3,True,True
397,396,LONG,3024.721,3009.91,-148.1100000000015,2,True,True
408,398,LONG,3021.041,2999.944,-210.97000000000207,11,True,True
420,409,LONG,2981.328,3434.548,4532.199999999998,12,False,False
421,420,SHORT,3434.548,3336.561,979.8699999999963,2,False,False
422,421,LONG,3336.561,3316.383,-201.78000000000338,2,True,True
424,423,LONG,3348.976,3318.798,-301.7800000000034,2,True,True
428,425,LONG,3302.739,3272.887,-298.5199999999986,4,True,True
438,429,LONG,3237.253,3236.88,-3.730000000000473,10,False,False
439,438,SHORT,3236.88,3254.414,-175.34000000000106,2,True,True
474,440,LONG,3186.128,3344.235,1581.0699999999997,35,False,False
475,474,SHORT,3344.235,3324.142,200.93000000000302,2,False,False
478,475,LONG,3324.142,3274.598,-495.4399999999987,4,True,True
499,479,LONG,3263.806,3396.532,1327.2600000000011,20,True,False
