exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced
4,0,LONG,3344.74,3355.228,104.88000000000284,5,False,False
5,4,SHORT,3355.228,3355.43,-2.019999999997708,2,False,False
7,5,LONG,3355.43,3344.444,-109.85999999999876,3,True,True
11,8,LONG,3370.277,3371.518,12.409999999999854,4,False,False
12,11,SHORT,3371.518,3367.356,41.61999999999807,2,False,False
18,12,LONG,3367.356,3365.715,-16.410000000000764,7,False,False
24,18,SHORT,3365.715,3357.578,81.37000000000171,7,False,False
26,24,LONG,3357.578,3361.845,42.669999999998254,3,False,False
28,26,SHORT,3361.845,3367.724,-58.7900000000036,3,False,False
29,28,LONG,3367.724,3380.596,128.71999999999844,2,False,False
32,29,SHORT,3380.596,3386.366,-57.69999999999982,4,False,False
35,32,LONG,3386.366,3382.526,-38.400000000001455,4,False,False
36,35,SHORT,3382.526,3378.635,38.90999999999622,2,False,False
38,36,LONG,3378.635,3368.358,-102.77000000000044,3,True,True
40,39,LONG,3355.464,3344.235,-112.28999999999814,2,True,True
46,41,SHORT,3351.064,3332.044,190.19999999999982,6,False,False
47,46,LONG,3332.044,3322.736,-93.07999999999993,2,False,False
53,47,SHORT,3322.736,3314.737,79.98999999999796,7,False,False
54,53,LONG,3314.737,3301.966,-127.71000000000186,2,True,True
64,55,LONG,3304.591,3326.955,223.64000000000033,10,False,False
65,64,SHORT,3326.955,3334.572,-76.17000000000189,2,False,False
66,65,LONG,3334.572,3329.444,-51.280000000001564,2,False,False
67,66,SHORT,3329.444,3328.295,11.489999999998872,2,False,False
68,67,LONG,3328.295,3327.509,-7.860000000000582,2,False,False
70,68,SHORT,3327.509,3331.55,-40.41000000000167,3,False,False
73,70,LONG,3331.55,3325.265,-62.85000000000309,4,False,False
74,73,SHORT,3325.265,3324.416,8.489999999997053,2,False,False
77,74,LONG,3324.416,3314.539,-98.76999999999953,4,False,False
78,77,SHORT,3314.539,3323.404,-88.64999999999782,2,False,False
81,78,LONG,3323.404,3328.017,46.12999999999829,4,False,False
82,81,SHORT,3328.017,3331.583,-35.66000000000258,2,False,False
87,82,LONG,3331.583,3334.028,24.44999999999709,6,False,False
89,87,SHORT,3334.028,3339.471,-54.43000000000211,3,False,False
90,89,LONG,3339.471,3337.976,-14.949999999998909,2,False,False
92,90,SHORT,3337.976,3334.218,37.580000000002656,3,False,False
93,92,LONG,3334.218,3339.785,55.67000000000007,2,False,False
94,93,SHORT,3339.785,3346.051,-62.660000000000764,2,False,False
95,94,LONG,3346.051,3348.256,22.049999999999272,2,False,False
96,95,SHORT,3348.256,3340.533,77.22999999999956,2,False,False
99,96,LONG,3340.533,3322.06,-184.72999999999956,4,True,True
110,100,LONG,3319.925,3318.862,-10.630000000001019,11,False,False
112,110,SHORT,3318.862,3308.891,99.71000000000004,3,False,False
113,112,LONG,3308.891,3294.318,-145.72999999999865,2,True,True
115,114,LONG,3293.969,3297.103,31.340000000000146,2,False,False
116,115,SHORT,3297.103,3294.888,22.150000000001455,2,False,False
117,116,LONG,3294.888,3284.458,-104.29999999999836,2,True,True
119,118,SHORT,3289.427,3282.797,66.30000000000109,2,False,False
120,119,LONG,3282.797,3285.665,28.67999999999938,2,False,False
121,120,SHORT,3285.665,3281.389,42.7599999999984,2,False,False
122,121,LONG,3281.389,3270.028,-113.61000000000331,2,True,True
131,123,LONG,3274.143,3263.811,-103.3199999999988,9,True,True
133,132,LONG,3263.806,3264.626,8.200000000001637,2,False,False
135,133,SHORT,3264.626,3280.186,-155.59999999999945,3,True,True
140,136,LONG,3278.981,3292.873,138.91999999999825,5,False,False
143,140,SHORT,3292.873,3283.455,94.1800000000012,4,False,False
144,143,LONG,3283.455,3277.932,-55.23000000000138,2,False,False
146,144,SHORT,3277.932,3284.791,-68.59000000000378,3,False,False
156,146,LONG,3284.791,3314.722,299.3100000000004,11,False,False
159,156,SHORT,3314.722,3321.161,-64.38999999999851,4,False,False
168,159,LONG,3321.161,3354.683,335.21999999999935,10,False,False
169,168,SHORT,3354.683,3351.512,31.709999999998217,2,False,False
171,169,LONG,3351.512,3340.228,-112.84000000000106,3,True,True
179,172,LONG,3341.723,3339.009,-27.139999999999418,8,False,False
183,179,SHORT,3339.009,3340.084,-10.749999999998181,5,False,False
185,183,LONG,3340.084,3333.488,-65.96000000000004,3,False,False
186,185,SHORT,3333.488,3334.571,-10.830000000000837,2,False,False
193,186,LONG,3334.571,3342.961,83.89999999999873,8,False,False
194,193,SHORT,3342.961,3341.021,19.399999999995998,2,False,False
203,194,LONG,3341.021,3345.975,49.539999999997235,10,False,False
207,203,SHORT,3345.975,3359.279,-133.04000000000087,5,True,True
213,208,SHORT,3361.859,3346.073,157.86000000000058,6,False,False
214,213,LONG,3346.073,3324.503,-215.6999999999971,2,True,True
225,215,LONG,3332.223,3328.996,-32.26999999999862,11,False,False
228,225,SHORT,3328.996,3338.35,-93.53999999999814,4,False,False
235,228,LONG,3338.35,3336.799,-15.509999999999309,8,False,False
236,235,SHORT,3336.799,3334.795,20.039999999999054,2,False,False
240,236,LONG,3334.795,3332.393,-24.020000000000437,5,False,False
241,240,SHORT,3332.393,3335.07,-26.770000000001346,2,False,False
244,241,LONG,3335.07,3326.505,-85.65000000000055,4,False,False
249,244,SHORT,3326.505,3313.467,130.3800000000001,6,False,False
250,249,LONG,3313.467,3309.878,-35.88999999999942,2,False,False
252,250,SHORT,3309.878,3310.171,-2.929999999996653,3,False,False
253,252,LONG,3310.171,3308.924,-12.469999999998436,2,False,False
255,253,SHORT,3308.924,3301.982,69.42000000000007,3,False,False
268,255,LONG,3301.982,3334.844,328.6200000000008,14,False,False
270,268,SHORT,3334.844,3331.469,33.75,3,False,False
271,270,LONG,3331.469,3329.612,-18.56999999999971,2,False,False
273,271,SHORT,3329.612,3335.704,-60.92000000000098,3,False,False
275,273,LONG,3335.704,3323.687,-120.1700000000028,3,True,True
279,276,LONG,3322.038,3328.206,61.6800000000012,4,False,False
280,279,SHORT,3328.206,3315.27,129.3600000000015,2,False,False
281,280,LONG,3315.27,3296.625,-186.44999999999982,2,True,True
290,282,LONG,3298.241,3307.156,89.14999999999964,9,False,False
292,290,SHORT,3307.156,3288.57,185.85999999999785,3,False,False
293,292,LONG,3288.57,3293.276,47.05999999999676,2,False,False
294,293,SHORT,3293.276,3293.965,-6.890000000003056,2,False,False
295,294,LONG,3293.965,3289.441,-45.24000000000342,2,False,False
297,295,SHORT,3289.441,3291.852,-24.110000000000582,3,False,False
298,297,LONG,3291.852,3285.04,-68.11999999999898,2,False,False
300,298,SHORT,3285.04,3295.552,-105.12000000000171,3,True,True
304,301,LONG,3284.936,3312.275,273.3899999999994,4,False,False
305,304,SHORT,3312.275,3309.606,26.68999999999869,2,False,False
314,305,LONG,3309.606,3322.181,125.74999999999818,10,False,False
316,314,SHORT,3322.181,3315.747,64.34000000000196,3,False,False
317,316,LONG,3315.747,3322.139,63.9200000000028,2,False,False
318,317,SHORT,3322.139,3321.308,8.31000000000131,2,False,False
320,318,LONG,3321.308,3321.047,-2.6099999999996726,3,False,False
321,320,SHORT,3321.047,3328.633,-75.85999999999785,2,False,False
322,321,LONG,3328.633,3326.474,-21.589999999996508,2,False,False
323,322,SHORT,3326.474,3325.3,11.739999999999782,2,False,False
324,323,LONG,3325.3,3320.411,-48.89000000000124,2,False,False
325,324,SHORT,3320.411,3323.783,-33.719999999998436,2,False,False
326,325,LONG,3323.783,3312.836,-109.47000000000116,2,True,True
328,327,SHORT,3314.931,3319.743,-48.11999999999898,2,False,False
336,328,LONG,3319.743,3330.627,108.84000000000015,9,False,False
338,336,SHORT,3330.627,3332.62,-19.92999999999938,3,False,False
340,338,LONG,3332.62,3331.999,-6.210000000000946,3,False,False
341,340,SHORT,3331.999,3334.02,-20.210000000001855,2,False,False
344,341,LONG,3334.02,3333.087,-9.329999999999927,4,False,False
346,344,SHORT,3333.087,3345.011,-119.23999999999978,3,True,True
349,347,LONG,3347.507,3351.916,44.090000000001055,3,False,False
350,349,SHORT,3351.916,3361.167,-92.50999999999749,2,False,False
353,350,LONG,3361.167,3353.345,-78.22000000000116,4,False,False
354,353,SHORT,3353.345,3356.101,-27.56000000000313,2,False,False
359,354,LONG,3356.101,3367.628,115.27000000000044,6,False,False
362,359,SHORT,3367.628,3356.964,106.64000000000215,4,False,False
363,362,LONG,3356.964,3359.794,28.299999999999272,2,False,False
365,363,SHORT,3359.794,3368.882,-90.88000000000193,3,False,False
366,365,LONG,3368.882,3371.948,30.659999999998035,2,False,False
370,366,SHORT,3371.948,3364.169,77.78999999999996,5,False,False
371,370,LONG,3364.169,3350.065,-141.03999999999814,2,True,True
373,372,SHORT,3355.266,3343.045,122.21000000000004,2,False,False
382,373,LONG,3343.045,3347.626,45.81000000000131,10,False,False
383,382,SHORT,3347.626,3346.585,10.410000000001673,2,False,False
384,383,LONG,3346.585,3350.97,43.849999999997635,2,False,False
387,384,SHORT,3350.97,3362.237,-112.6700000000028,4,True,True
389,388,SHORT,3358.079,3364.347,-62.68000000000029,2,False,False
390,389,LONG,3364.347,3361.025,-33.220000000001164,2,False,False
393,390,SHORT,3361.025,3354.932,60.93000000000302,4,False,False
395,393,LONG,3354.932,3346.489,-84.42999999999756,3,False,False
