exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced
28,0,LONG,3340.849,3352.009,111.59999999999854,29,False,False
29,28,SHORT,3352.009,3352.186,-1.770000000001346,2,False,False
34,29,LONG,3352.186,3354.449,22.6299999999992,6,False,False
35,34,SHORT,3354.449,3353.374,10.750000000002728,2,False,False
47,35,LONG,3353.374,3351.814,-15.599999999999454,13,False,False
48,47,SHORT,3351.814,3351.53,2.8399999999965075,2,False,False
52,48,LONG,3351.53,3352.685,11.549999999997453,5,False,False
53,52,SHORT,3352.685,3352.924,-2.3900000000003274,2,False,False
55,53,LONG,3352.924,3353.456,5.320000000001528,3,False,False
56,55,SHORT,3353.456,3353.016,4.400000000000546,2,False,False
60,56,LONG,3353.016,3355.993,29.769999999998618,5,False,False
62,60,SHORT,3355.993,3354.435,15.579999999999927,3,False,False
63,62,LONG,3354.435,3358.182,37.469999999998436,2,False,False
70,63,SHORT,3358.182,3358.598,-4.1600000000016735,8,False,False
71,70,LONG,3358.598,3360.589,19.909999999999854,2,False,False
84,71,SHORT,3360.589,3354.066,65.23000000000138,14,False,False
86,84,LONG,3354.066,3355.534,14.68000000000302,3,False,False
87,86,SHORT,3355.534,3355.851,-3.1700000000000728,2,False,False
88,87,LONG,3355.851,3356.753,9.020000000000437,2,False,False
95,88,SHORT,3356.753,3354.911,18.420000000000982,8,False,False
97,95,LONG,3354.911,3354.712,-1.9900000000006912,3,False,False
98,97,SHORT,3354.712,3354.707,0.050000000001091394,2,False,False
99,98,LONG,3354.707,3354.393,-3.1399999999985084,2,False,False
100,99,SHORT,3354.393,3354.258,1.3500000000021828,2,False,False
102,100,LONG,3354.258,3353.735,-5.229999999996835,3,False,False
106,102,SHORT,3353.735,3353.656,0.7900000000017826,5,False,False
109,106,LONG,3353.656,3354.41,7.539999999999054,4,False,False
110,109,SHORT,3354.41,3353.654,7.559999999998581,2,False,False
111,110,LONG,3353.654,3354.729,10.749999999998181,2,False,False
113,111,SHORT,3354.729,3351.42,33.08999999999742,3,False,False
114,113,LONG,3351.42,3353.417,19.969999999998436,2,False,False
117,114,SHORT,3353.417,3356.355,-29.38000000000102,4,False,False
118,117,LONG,3356.355,3355.097,-12.579999999998108,2,False,False
122,118,SHORT,3355.097,3353.732,13.650000000002365,5,False,False
123,122,LONG,3353.732,3352.677,-10.549999999998363,2,False,False
124,123,SHORT,3352.677,3352.912,-2.349999999996726,2,False,False
127,124,LONG,3352.912,3352.023,-8.88999999999669,4,False,False
128,127,SHORT,3352.023,3351.816,2.070000000003347,2,False,False
138,128,LONG,3351.816,3351.125,-6.9099999999980355,11,False,False
139,138,SHORT,3351.125,3352.018,-8.930000000000291,2,False,False
141,139,LONG,3352.018,3351.99,-0.2800000000024738,3,False,False
142,141,SHORT,3351.99,3352.147,-1.570000000001528,2,False,False
144,142,LONG,3352.147,3351.731,-4.159999999997126,3,False,False
145,144,SHORT,3351.731,3351.33,4.010000000002947,2,False,False
148,145,LONG,3351.33,3351.848,5.180000000000291,4,False,False
150,148,SHORT,3351.848,3351.398,4.499999999998181,3,False,False
158,150,LONG,3351.398,3348.325,-30.7300000000032,9,False,False
159,158,SHORT,3348.325,3348.077,2.4799999999959255,2,False,False
162,159,LONG,3348.077,3349.916,18.389999999999418,4,False,False
165,162,SHORT,3349.916,3349.316,6.000000000003638,4,False,False
168,165,LONG,3349.316,3351.654,23.380000000001928,4,False,False
170,168,SHORT,3351.654,3350.395,12.590000000000146,3,False,False
174,170,LONG,3350.395,3347.636,-27.590000000000146,5,False,False
175,174,SHORT,3347.636,3347.958,-3.220000000001164,2,False,False
177,175,LONG,3347.958,3347.6,-3.5800000000017462,3,False,False
178,177,SHORT,3347.6,3347.479,1.2100000000009459,2,False,False
180,178,LONG,3347.479,3347.143,-3.3599999999978536,3,False,False
181,180,SHORT,3347.143,3347.755,-6.1200000000008,2,False,False
182,181,LONG,3347.755,3347.095,-6.600000000003092,2,False,False
183,182,SHORT,3347.095,3346.842,2.529999999997017,2,False,False
185,183,LONG,3346.842,3345.992,-8.49999999999909,3,False,False
189,185,SHORT,3345.992,3346.747,-7.549999999996544,5,False,False
192,189,LONG,3346.747,3349.286,25.390000000002146,4,False,False
193,192,SHORT,3349.286,3349.122,1.6400000000021464,2,False,False
242,193,LONG,3349.122,3351.118,19.960000000000946,50,True,False
292,243,LONG,3352.128,3364.095,119.66999999999643,50,True,False
342,293,LONG,3364.214,3380.895,166.8100000000004,50,True,False
379,343,LONG,3381.604,3400.036,184.32000000000244,37,False,False
382,379,SHORT,3400.036,3396.626,34.099999999998545,4,False,False
383,382,LONG,3396.626,3398.729,21.029999999996107,2,False,False
384,383,SHORT,3398.729,3397.965,7.639999999996689,2,False,False
387,384,LONG,3397.965,3398.22,2.549999999996544,4,False,False
390,387,SHORT,3398.22,3397.93,2.899999999999636,4,False,False
393,390,LONG,3397.93,3396.883,-10.470000000000255,4,False,False
394,393,SHORT,3396.883,3395.848,10.349999999998545,2,False,False
411,394,LONG,3395.848,3394.235,-16.12999999999829,18,False,False
415,411,SHORT,3394.235,3394.462,-2.2699999999986176,5,False,False
432,415,LONG,3394.462,3397.661,31.99000000000069,18,False,False
433,432,SHORT,3397.661,3398.811,-11.50000000000091,2,False,False
442,433,LONG,3398.811,3397.988,-8.230000000003201,10,False,False
443,442,SHORT,3397.988,3397.186,8.019999999996799,2,False,False
448,443,LONG,3397.186,3399.234,20.479999999997744,6,False,False
449,448,SHORT,3399.234,3399.403,-1.6899999999986903,2,False,False
454,449,LONG,3399.403,3400.017,6.140000000000327,6,False,False
455,454,SHORT,3400.017,3399.429,5.879999999997381,2,False,False
460,455,LONG,3399.429,3400.533,11.039999999998145,6,False,False
461,460,SHORT,3400.533,3400.187,3.4600000000000364,2,False,False
464,461,LONG,3400.187,3399.479,-7.080000000000837,4,False,False
465,464,SHORT,3399.479,3394.566,49.13000000000011,2,False,False
467,465,LONG,3394.566,3395.968,14.020000000000437,3,False,False
468,467,SHORT,3395.968,3395.371,5.969999999997526,2,False,False
476,468,LONG,3395.371,3395.494,1.230000000000473,9,False,False
480,476,SHORT,3395.494,3394.286,12.080000000000837,5,False,False
499,480,LONG,3394.286,3391.071,-32.150000000001455,19,True,False
