exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced,tp_forced
4,0,SHORT,3348.475,3348.242,2.3299999999971988,5,False,False,False
5,4,LONG,3348.242,3347.75,-4.920000000001892,2,False,False,False
6,5,SHORT,3347.75,3348.258,-5.079999999998108,2,False,False,False
7,6,LONG,3348.258,3350.513,22.55000000000109,2,False,False,False
9,7,SHORT,3350.513,3351.044,-5.309999999999491,3,False,False,False
12,9,LONG,3351.044,3350.622,-4.220000000000255,4,False,False,False
13,12,SHORT,3350.622,3348.886,17.359999999998763,2,False,False,False
14,13,LONG,3348.886,3349.786,9.00000000000091,2,False,False,False
15,14,SHORT,3349.786,3348.285,15.010000000002037,2,False,False,False
16,15,LONG,3348.285,3346.284,-20.00999999999749,2,False,False,False
17,16,SHORT,3346.284,3344.125,21.590000000001055,2,False,False,False
18,17,LONG,3344.125,3345.164,10.390000000002146,2,False,False,False
19,18,SHORT,3345.164,3344.809,3.550000000000182,2,False,False,False
20,19,LONG,3344.809,3342.181,-26.280000000001564,2,False,False,False
21,20,SHORT,3342.181,3342.572,-3.910000000000764,2,False,False,False
25,21,LONG,3342.572,3345.72,31.479999999996835,5,False,False,False
26,25,SHORT,3345.72,3344.025,16.94999999999709,2,False,False,False
27,26,LONG,3344.025,3344.732,7.0699999999987995,2,False,False,False
44,27,SHORT,3344.732,3357.323,-125.90999999999894,18,True,True,False
73,63,LONG,3357.742,3361.266,35.23999999999887,11,False,False,False
80,73,SHORT,3361.266,3351.525,97.40999999999985,8,False,False,False
81,80,LONG,3351.525,3348.856,-26.68999999999869,2,False,False,False
85,81,SHORT,3348.856,3346.489,23.67000000000189,5,False,False,False
89,85,LONG,3346.489,3347.989,15.0,5,False,False,False
94,89,SHORT,3347.989,3322.623,253.65999999999985,6,True,False,True
97,96,LONG,3326.165,3329.274,31.089999999999236,2,False,False,False
99,97,SHORT,3329.274,3329.216,0.5799999999999272,3,False,False,False
100,99,LONG,3329.216,3328.165,-10.509999999999309,2,False,False,False
101,100,SHORT,3328.165,3328.179,-0.1400000000012369,2,False,False,False
102,101,LONG,3328.179,3328.719,5.399999999999636,2,False,False,False
103,102,SHORT,3328.719,3326.387,23.3199999999988,2,False,False,False
106,103,LONG,3326.387,3327.387,10.0,4,False,False,False
110,106,SHORT,3327.387,3330.401,-30.13999999999669,5,False,False,False
111,110,LONG,3330.401,3328.112,-22.8899999999976,2,False,False,False
114,111,SHORT,3328.112,3327.097,10.149999999998727,4,False,False,False
115,114,LONG,3327.097,3326.362,-7.350000000001273,2,False,False,False
116,115,SHORT,3326.362,3326.402,-0.3999999999996362,2,False,False,False
118,116,LONG,3326.402,3328.502,20.99999999999909,3,False,False,False
142,118,SHORT,3328.502,3338.833,-103.31000000000131,25,True,True,False
174,146,SHORT,3340.614,3334.49,61.24000000000251,29,False,False,False
178,174,LONG,3334.49,3325.992,-84.97999999999593,5,False,False,False
179,178,SHORT,3325.992,3325.139,8.530000000000655,2,False,False,False
181,179,LONG,3325.139,3338.187,130.47999999999774,3,False,False,False
182,181,SHORT,3338.187,3348.68,-104.92999999999938,2,True,True,False
200,183,SHORT,3363.386,3347.08,163.0600000000004,18,False,False,False
202,200,LONG,3347.08,3348.912,18.3199999999988,3,False,False,False
205,202,SHORT,3348.912,3347.547,13.649999999997817,4,False,False,False
206,205,LONG,3347.547,3351.114,35.67000000000007,2,False,False,False
213,206,SHORT,3351.114,3346.526,45.88000000000193,8,False,False,False
238,213,LONG,3346.526,3333.066,-134.60000000000036,26,True,True,False
274,256,SHORT,3331.077,3333.309,-22.31999999999971,19,False,False,False
279,274,LONG,3333.309,3338.72,54.109999999996035,6,False,False,False
289,279,SHORT,3338.72,3338.523,1.9699999999966167,11,False,False,False
290,289,LONG,3338.523,3339.489,9.659999999998945,2,False,False,False
295,290,SHORT,3339.489,3339.052,4.369999999998981,6,False,False,False
296,295,LONG,3339.052,3338.342,-7.100000000000364,2,False,False,False
337,296,SHORT,3338.342,3349.823,-114.80999999999767,42,True,True,False
387,376,SHORT,3351.491,3349.82,16.709999999998217,12,False,False,False
390,387,LONG,3349.82,3346.941,-28.7900000000036,4,False,False,False
402,390,SHORT,3346.941,3356.962,-100.21000000000186,13,True,True,False
447,404,LONG,3356.775,3381.604,248.28999999999724,44,True,False,True
466,451,LONG,3386.932,3393.114,61.82000000000244,16,False,False,False
467,466,SHORT,3393.114,3392.251,8.62999999999829,2,False,False,False
487,467,LONG,3392.251,3401.395,91.43999999999778,21,False,False,False
488,487,SHORT,3401.395,3394.384,70.10999999999967,2,False,False,False
499,488,LONG,3394.384,3389.054,-53.29999999999927,11,True,False,False
