exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,exit_type
98,0,LONG,2032.813,2197.2824,1644.6939999999995,99,tp
112,98,LONG,2203.501,2287.652759049565,841.5175904956459,15,tp
139,112,LONG,2297.448,2297.448,0.0,28,be
156,139,LONG,2291.244,2400.809052097768,1095.6505209776788,18,tp
162,156,LONG,2413.933,2344.9397415172407,-689.932584827593,7,sl
216,162,LONG,2332.012,2438.996490516531,1069.8449051653097,55,tp
219,216,LONG,2468.278,2406.270700099391,-620.0729990060881,4,sl
247,219,LONG,2400.451,2506.98840350295,1065.3740350294993,29,tp
286,247,LONG,2507.82,2630.334331447841,1225.1433144784096,40,tp
314,286,LONG,2658.204,2743.9499521317452,857.4595213174507,29,tp
329,314,LONG,2746.553,2689.8779220814854,-566.7507791851449,16,sl
336,329,LONG,2664.048,2585.150898332459,-788.9710166754094,8,sl
345,336,LONG,2570.989,2690.8352799718928,1198.4627997189273,10,tp
348,345,LONG,2715.573,2643.673876823524,-718.9912317647577,4,sl
371,348,LONG,2610.46,2610.46,0.0,24,be
400,371,LONG,2588.225,2699.744153628785,1115.1915362878526,30,tp
414,400,LONG,2714.578,2790.4997379901306,759.2173799013062,15,tp
425,414,LONG,2796.146,2879.077673350726,829.3167335072576,12,tp
461,425,LONG,2917.847,3031.367804934859,1135.2080493485892,37,tp
476,461,LONG,3031.774,3124.7290258189323,929.5502581893243,16,tp
478,476,LONG,3162.709,3067.9493038183487,-947.5969618165118,3,sl
485,478,LONG,3038.506,3235.7645910313267,1972.5859103132689,8,tp
505,485,LONG,3237.519,3237.519,0.0,21,be
516,505,LONG,3237.253,3237.253,0.0,12,be
587,516,LONG,3236.88,3396.532,1596.5200000000004,71,end
