exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,exit_type
79,0,LONG,3347.691,3381.037,333.46000000000004,80,tp
87,79,LONG,3386.366,3361.3711451078702,-249.94854892129752,9,sl
95,87,LONG,3355.464,3329.882669693989,-255.8133030601084,9,sl
149,95,LONG,3322.736,3322.736,0.0,55,be
164,149,LONG,3322.06,3299.8208367724355,-222.39163227564404,16,sl
173,164,LONG,3294.318,3276.093270833829,-182.24729166171073,10,sl
252,173,LONG,3270.028,3305.0461320748523,350.18132074852474,80,tp
264,252,LONG,3308.534,3333.886082936086,253.52082936085935,13,tp
303,264,LONG,3339.497,3361.870638920214,223.73638920214034,40,tp
305,303,LONG,3361.936,3346.5910426747123,-153.4495732528785,3,sl
317,305,LONG,3344.788,3344.788,0.0,13,be
402,317,LONG,3324.503,3324.503,0.0,86,be
438,402,LONG,3316.554,3316.554,0.0,37,be
451,438,LONG,3315.27,3296.0503798128652,-192.1962018713475,14,sl
468,451,LONG,3288.57,3314.260199853881,256.9019985388104,18,tp
504,468,LONG,3315.605,3338.227557162668,226.22557162667817,37,tp
567,504,LONG,3341.833,3366.68002947212,248.47029472120084,64,tp
581,567,LONG,3369.181,3355.350775628037,-138.3022437196314,15,sl
605,581,LONG,3350.065,3350.065,0.0,25,be
608,605,LONG,3348.856,3331.0350011934197,-178.2099880658052,4,sl
630,608,LONG,3328.996,3328.996,0.0,23,be
648,630,LONG,3326.819,3326.819,0.0,19,be
674,648,LONG,3325.886,3350.6087287228493,247.22728722849297,27,tp
748,674,LONG,3352.322,3371.3747213228826,190.52721322882462,75,tp
751,748,LONG,3375.302,3397.1928744808833,218.90874480883213,4,tp
765,751,LONG,3400.342,3392.593,-77.49000000000251,14,end
