exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,lots,sl_pips,risk_per_trade,duration,exit_type,balance
79,0,LONG,3347.691,3381.037,600.2280000000001,1.8,22.23066666666655,0.005,80,tp,10000.0
87,79,LONG,3386.366,3361.3711451078702,-424.9125331662058,1.7,24.994854892129965,0.005,9,sl,10600.228
95,87,LONG,3355.464,3329.882669693989,-455.34767944699297,1.78,25.58133030601099,0.005,9,sl,10175.315466833794
164,95,LONG,3322.736,3295.606945070815,-431.3519733740384,1.59,27.129054929184647,0.005,70,sl,9719.9677873868
173,164,LONG,3294.318,3276.093270833829,-368.13952915665567,2.02,18.22472916617106,0.005,10,sl,9288.615814012763
252,173,LONG,3270.028,3305.0461320748523,619.8209377248888,1.77,23.345421383234974,0.005,80,tp,8920.476284856108
264,252,LONG,3308.534,3333.886082936086,565.3514494747163,2.23,16.90138862405742,0.005,13,tp,9540.297222580997
275,264,LONG,3339.497,3339.497,0.0,2.6,14.915759280142582,0.005,12,be,10105.648672055713
300,275,LONG,3337.933,3358.022559263433,550.4539238180608,2.74,13.393039508955388,0.005,26,tp,10105.648672055713
317,300,LONG,3358.258,3344.660363690102,-397.0509802490218,2.92,13.59763630989806,0.005,18,sl,10656.102595873774
439,317,LONG,3324.503,3297.4886812028494,-459.2434195515625,1.7,27.014318797150793,0.005,123,sl,10259.051615624752
481,439,LONG,3296.625,3326.911706243275,639.0495017331056,2.11,20.191137495516795,0.005,43,tp,9799.80819607319
486,481,LONG,3328.633,3313.899557234164,-408.1163646136478,2.77,14.733442765835775,0.005,6,sl,10438.857697806296
504,486,LONG,3312.836,3341.3703273024303,639.1689315744429,2.24,19.022884868287097,0.005,19,tp,10030.741333192647
567,504,LONG,3341.833,3366.68002947212,670.8697957472423,2.7,16.564686314746584,0.005,64,tp,10669.91026476709
581,567,LONG,3369.181,3355.350775628037,-445.33322477721316,3.22,13.83022437196303,0.005,15,sl,11340.780060514331
608,581,LONG,3350.065,3331.4927485212766,-464.30628696808753,2.5,18.57225147872367,0.005,28,sl,10895.446835737119
648,608,LONG,3328.996,3328.996,0.0,1.99,21.917143223128217,0.005,41,be,10431.140548769032
674,648,LONG,3325.886,3350.6087287228493,613.1236723266626,2.48,16.481819148566068,0.005,27,tp,10431.140548769032
748,674,LONG,3352.322,3371.3747213228826,613.4976265968153,3.22,12.701814215254835,0.005,75,tp,11044.264221095695
751,748,LONG,3375.302,3397.1928744808833,772.7478691751774,3.53,14.593916320588919,0.005,4,tp,11657.761847692509
765,751,LONG,3400.342,3392.593,-220.84650000000715,2.85,16.84999056483948,0.005,14,end,12430.509716867686
