exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,lots,sl_pips,risk_per_trade,duration,exit_type,balance
10,0,LONG,3350.513,3344.545,-289.4479999999926,4.85,5.967999999999908,0.005,11,sl,10000.0
39,10,LONG,3344.125,3351.956726656124,404.1170954559943,5.16,5.221151104082532,0.005,30,tp,9710.552000000007
48,39,LONG,3354.125,3363.3684740525186,470.4928292731993,5.09,6.162316035012358,0.005,10,tp,10114.669095456002
54,48,LONG,3363.482,3358.3311828250603,-296.6870692765253,5.76,5.150817174939474,0.005,7,sl,10585.1619247292
78,54,LONG,3358.079,3351.2810331613628,-321.5438314675501,4.73,6.797966838637217,0.005,25,sl,10288.474855452674
88,78,LONG,3348.856,3337.941363483014,-374.3720325326308,3.43,10.914636516986484,0.005,11,sl,9966.931023985124
184,88,LONG,3334.23,3356.0659360804325,580.8358997395038,2.66,14.557290720288368,0.005,97,tp,9592.558991452494
229,184,LONG,3363.386,3339.714782289169,-480.5257195298716,2.03,23.671217710830906,0.005,46,sl,10173.394891191998
244,229,LONG,3339.264,3332.744236092723,-304.47297446984237,4.67,6.519763907276986,0.005,16,sl,9692.869171662127
269,244,LONG,3330.186,3322.496056404006,-300.67679460336575,3.91,7.689943595994173,0.005,26,sl,9388.396197192285
276,269,LONG,3312.871,3329.1744615186667,498.8859224711982,3.06,10.86897434577763,0.005,8,tp,9087.71940258892
345,276,LONG,3330.189,3347.600124894908,522.3337468472391,3.0,11.60741659660542,0.005,70,tp,9586.605325060118
363,345,LONG,3347.927,3358.4147018511308,469.849042930652,4.48,6.991801234087125,0.005,19,tp,10108.939071907356
379,363,LONG,3359.32,3352.2682533794473,-339.1890124485933,4.81,7.051746620552844,0.005,17,sl,10578.788114838007
623,379,LONG,3351.42,3361.831018275337,483.0712479756381,4.64,6.940678850224784,0.005,245,tp,10239.599102389415
649,623,LONG,3362.843,3373.5031035809448,554.3253862091351,5.2,7.10673572062993,0.005,27,tp,10722.670350365053
653,649,LONG,3373.827,3382.802577582474,499.0421135855411,5.56,5.983718388315824,0.005,5,tp,11276.995736574188
660,653,LONG,3385.846,3397.593952855961,581.5236663700746,4.95,7.831968570640834,0.005,8,tp,11776.03785015973
706,660,LONG,3397.714,3387.5447590833087,-434.22658714271637,4.27,10.169240916691326,0.005,47,sl,12357.561516529804
715,706,LONG,3385.964,3392.593,326.1467999999953,4.92,8.23302337061439,0.005,9,end,11923.334929387087
