tf,scope,thr,n,wins,wr,ci_lo,n_min
H1,GLOBAL,0.55,2015,1402,0.6957816377171215,0.675336625870718,150
H1,GLOBAL,0.56,2012,1399,0.6953280318091452,0.6748599969293314,150
H1,GLOBAL,0.57,2010,1398,0.6955223880597015,0.6750472299645467,150
H1,GLOBAL,0.58,2001,1392,0.6956521739130435,0.6751324167844662,150
H1,GLOBAL,0.59,1980,1377,0.6954545454545454,0.674821136364452,150
H1,GLOBAL,0.6,1942,1353,0.6967044284243048,0.6758878935382503,150
H1,GLOBAL,0.61,1885,1317,0.6986737400530504,0.6775735697899434,150
H1,GLOBAL,0.62,1790,1255,0.7011173184357542,0.6794985554576013,150
H1,GLOBAL,0.63,1651,1168,0.7074500302846759,0.68504432548755,150
H1,GLOBAL,0.64,1494,1078,0.7215528781793842,0.6982778331943464,150
H1,GLOBAL,0.65,1320,952,0.7212121212121212,0.6964071629593678,150
H1,GLOBAL,0.66,1082,789,0.7292051756007394,0.7019510874008947,150
H1,GLOBAL,0.67,843,626,0.7425860023724793,0.7120183340842153,150
H1,GLOBAL,0.68,582,423,0.7268041237113402,0.6892032003050363,150
H1,GLOBAL,0.69,358,267,0.7458100558659218,0.6982622268040074,150
H1,GLOBAL,0.7,213,162,0.7605633802816901,0.6989612034440782,150
H1,GLOBAL,0.71,107,86,0.8037383177570093,0.7185272511729878,150
H1,GLOBAL,0.72,34,29,0.8529411764705882,0.6987194350454783,150
H1,GLOBAL,0.73,0,0,,,150
H1,GLOBAL,0.74,0,0,,,150
H1,GLOBAL,0.75,0,0,,,150
H1,GLOBAL,0.76,0,0,,,150
H1,GLOBAL,0.77,0,0,,,150
H1,GLOBAL,0.78,0,0,,,150
H1,GLOBAL,0.79,0,0,,,150
H1,GLOBAL,0.8,0,0,,,150
H1,GLOBAL,0.81,0,0,,,150
H1,GLOBAL,0.82,0,0,,,150
H1,GLOBAL,0.83,0,0,,,150
H1,GLOBAL,0.84,0,0,,,150
H1,GLOBAL,0.85,0,0,,,150
