tf,scope,thr,n,wins,wr,ci_lo,n_min
H1,London,0.55,874,643,0.7356979405034325,0.705478044633964,150
H1,London,0.56,871,640,0.7347876004592423,0.7044860963845594,150
H1,London,0.57,871,640,0.7347876004592423,0.7044860963845594,150
H1,London,0.58,868,639,0.7361751152073732,0.7058624945820768,150
H1,London,0.59,862,634,0.7354988399071926,0.7050566588052399,150
H1,London,0.6,851,627,0.736780258519389,0.7061758866720922,150
H1,London,0.61,835,617,0.7389221556886227,0.7080848942621105,150
H1,London,0.62,802,595,0.7418952618453866,0.710507234926675,150
H1,London,0.63,755,562,0.7443708609271523,0.7120726683506402,150
H1,London,0.64,701,527,0.7517831669044223,0.7184906956803773,150
H1,London,0.65,636,479,0.7531446540880503,0.7181805976987361,150
H1,London,0.66,527,399,0.7571157495256167,0.7187283998911982,150
H1,London,0.67,401,305,0.7605985037406484,0.7164854345092218,150
H1,London,0.68,266,194,0.7293233082706767,0.6729456228530932,150
H1,London,0.69,153,113,0.738562091503268,0.6637018673288092,150
H1,London,0.7,86,68,0.7906976744186046,0.6932340925568325,150
H1,London,0.71,42,32,0.7619047619047619,0.6147245613168169,150
H1,London,0.72,16,14,0.875,0.6397717273424132,150
H1,London,0.73,0,0,,,150
H1,London,0.74,0,0,,,150
H1,London,0.75,0,0,,,150
H1,London,0.76,0,0,,,150
H1,London,0.77,0,0,,,150
H1,London,0.78,0,0,,,150
H1,London,0.79,0,0,,,150
H1,London,0.8,0,0,,,150
H1,London,0.81,0,0,,,150
H1,London,0.82,0,0,,,150
H1,London,0.83,0,0,,,150
H1,London,0.84,0,0,,,150
H1,London,0.85,0,0,,,150
