tf,scope,thr,n,wins,wr,ci_lo,n_min
H1,GLOBAL,0.55,2015,1402,0.6957816377171215,0.675336625870718,150
H1,GLOBAL,0.56,2015,1402,0.6957816377171215,0.675336625870718,150
H1,GLOBAL,0.57,2015,1402,0.6957816377171215,0.675336625870718,150
H1,GLOBAL,0.58,2015,1402,0.6957816377171215,0.675336625870718,150
H1,GLOBAL,0.59,2011,1401,0.6966683242168076,0.6762174459537149,150
H1,GLOBAL,0.6,1997,1395,0.6985478217325989,0.6780559309492535,150
H1,GLOBAL,0.61,1949,1362,0.6988199076449462,0.6780775806890988,150
H1,GLOBAL,0.62,1864,1309,0.7022532188841202,0.6810959649853835,150
H1,GLOBAL,0.63,1727,1216,0.704111175448755,0.6821501344460155,150
H1,GLOBAL,0.64,1535,1086,0.7074918566775245,0.6842389594202465,150
H1,GLOBAL,0.65,1306,926,0.7090352220520674,0.6838169262611375,150
H1,GLOBAL,0.66,1059,754,0.7119924457034938,0.6839913582512445,150
H1,GLOBAL,0.67,799,570,0.7133917396745932,0.681075847823242,150
H1,GLOBAL,0.68,505,359,0.7108910891089109,0.6698765362158622,150
H1,GLOBAL,0.69,263,194,0.7376425855513308,0.6813280821705039,150
H1,GLOBAL,0.7,112,88,0.7857142857142857,0.7009199137875141,150
H1,GLOBAL,0.71,11,8,0.7272727272727273,0.43435469882387095,150
H1,GLOBAL,0.72,0,0,,,150
H1,GLOBAL,0.73,0,0,,,150
H1,GLOBAL,0.74,0,0,,,150
H1,GLOBAL,0.75,0,0,,,150
H1,GLOBAL,0.76,0,0,,,150
H1,GLOBAL,0.77,0,0,,,150
H1,GLOBAL,0.78,0,0,,,150
H1,GLOBAL,0.79,0,0,,,150
H1,GLOBAL,0.8,0,0,,,150
H1,GLOBAL,0.81,0,0,,,150
H1,GLOBAL,0.82,0,0,,,150
H1,GLOBAL,0.83,0,0,,,150
H1,GLOBAL,0.84,0,0,,,150
H1,GLOBAL,0.85,0,0,,,150
