tf,scope,thr,n,wins,wr,ci_lo,n_min
H1,London,0.55,874,643,0.7356979405034325,0.705478044633964,150
H1,London,0.56,874,643,0.7356979405034325,0.705478044633964,150
H1,London,0.57,874,643,0.7356979405034325,0.705478044633964,150
H1,London,0.58,874,643,0.7356979405034325,0.705478044633964,150
H1,London,0.59,871,642,0.7370838117106774,0.7068532522885602,150
H1,London,0.6,867,639,0.7370242214532872,0.7067199765410718,150
H1,London,0.61,854,630,0.7377049180327869,0.7071850744307506,150
H1,London,0.62,829,615,0.7418576598311218,0.7110006192749668,150
H1,London,0.63,766,569,0.7428198433420365,0.710709354489408,150
H1,London,0.64,692,512,0.7398843930635838,0.7059376649874891,150
H1,London,0.65,575,427,0.7426086956521739,0.7053462517590202,150
H1,London,0.66,464,346,0.7456896551724138,0.704160508562664,150
H1,London,0.67,332,246,0.7409638554216867,0.6912712420770644,150
H1,London,0.68,198,138,0.696969696969697,0.6297096980923459,150
H1,London,0.69,100,72,0.72,0.6251197129007884,150
H1,London,0.7,50,37,0.74,0.6044684273515116,150
H1,London,0.71,5,3,0.6,0.23072428127601285,150
H1,London,0.72,0,0,,,150
H1,London,0.73,0,0,,,150
H1,London,0.74,0,0,,,150
H1,London,0.75,0,0,,,150
H1,London,0.76,0,0,,,150
H1,London,0.77,0,0,,,150
H1,London,0.78,0,0,,,150
H1,London,0.79,0,0,,,150
H1,London,0.8,0,0,,,150
H1,London,0.81,0,0,,,150
H1,London,0.82,0,0,,,150
H1,London,0.83,0,0,,,150
H1,London,0.84,0,0,,,150
H1,London,0.85,0,0,,,150
