tf,scope,thr,n,wins,wr,ci_lo,n_min
H4,NY,0.55,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.56,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.57,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.58,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.59,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.6,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.61,224,160,0.7142857142857143,0.6519027834224603,120
H4,NY,0.62,224,160,0.7142857142857143,0.6519027834224603,120
H4,NY,0.63,224,160,0.7142857142857143,0.6519027834224603,120
H4,NY,0.64,224,160,0.7142857142857143,0.6519027834224603,120
H4,NY,0.65,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.66,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.67,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.68,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.69,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.7,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.71,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.72,211,152,0.7203791469194313,0.6562951962989501,120
H4,NY,0.73,173,127,0.7341040462427746,0.6637039720652363,120
H4,NY,0.74,173,127,0.7341040462427746,0.6637039720652363,120
H4,NY,0.75,173,127,0.7341040462427746,0.6637039720652363,120
H4,NY,0.76,173,127,0.7341040462427746,0.6637039720652363,120
H4,NY,0.77,87,64,0.735632183908046,0.6344360127240147,120
H4,NY,0.78,6,6,1.0,0.6096657120978346,120
H4,NY,0.79,6,6,1.0,0.6096657120978346,120
H4,NY,0.8,6,6,1.0,0.6096657120978346,120
H4,NY,0.81,6,6,1.0,0.6096657120978346,120
H4,NY,0.82,6,6,1.0,0.6096657120978346,120
H4,NY,0.83,6,6,1.0,0.6096657120978346,120
H4,NY,0.84,6,6,1.0,0.6096657120978346,120
H4,NY,0.85,6,6,1.0,0.6096657120978346,120
