tf,scope,thr,n,wins,wr,ci_lo,n_min
H4,NY,0.55,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.56,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.57,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.58,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.59,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.6,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.61,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.62,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.63,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.64,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.65,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.66,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.67,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.68,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.69,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.7,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.71,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.72,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.73,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.74,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.75,225,160,0.7111111111111111,0.6487365509172317,120
H4,NY,0.76,0,0,,,120
H4,NY,0.77,0,0,,,120
H4,NY,0.78,0,0,,,120
H4,NY,0.79,0,0,,,120
H4,NY,0.8,0,0,,,120
H4,NY,0.81,0,0,,,120
H4,NY,0.82,0,0,,,120
H4,NY,0.83,0,0,,,120
H4,NY,0.84,0,0,,,120
H4,NY,0.85,0,0,,,120
