tf,scope,thr,n,wins,wr,ci_lo,n_min
M15,GLOBAL,0.55,4940,3070,0.6214574898785425,0.6078427180428068,300
M15,GLOBAL,0.56,2780,1811,0.6514388489208633,0.6335274654141034,300
M15,GLOBAL,0.57,2515,1652,0.6568588469184891,0.6380776369626963,300
M15,GLOBAL,0.58,2515,1652,0.6568588469184891,0.6380776369626963,300
M15,GLOBAL,0.59,1708,1164,0.6814988290398126,0.6590176738633481,300
M15,GLOBAL,0.6,1708,1164,0.6814988290398126,0.6590176738633481,300
M15,GLOBAL,0.61,1708,1164,0.6814988290398126,0.6590176738633481,300
M15,GLOBAL,0.62,1708,1164,0.6814988290398126,0.6590176738633481,300
M15,GLOBAL,0.63,391,302,0.7723785166240409,0.728285805991218,300
M15,GLOBAL,0.64,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.65,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.66,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.67,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.68,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.69,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.7,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.71,247,204,0.8259109311740891,0.7737305238131149,300
M15,GLOBAL,0.72,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.73,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.74,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.75,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.76,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.77,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.78,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.79,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.8,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.81,202,169,0.8366336633663366,0.7794575343887922,300
M15,GLOBAL,0.82,171,144,0.8421052631578947,0.7800190491216297,300
M15,GLOBAL,0.83,35,30,0.8571428571428571,0.7062444591340484,300
M15,GLOBAL,0.84,34,29,0.8529411764705882,0.6987194350454783,300
M15,GLOBAL,0.85,0,0,,,300
