tf,scope,thr,n,wins,wr,ci_lo,n_min
M15,London,0.55,2204,1426,0.647005444646098,0.6268136747720416,300
M15,London,0.56,1321,897,0.6790310370931113,0.6533678865147383,300
M15,London,0.57,1212,824,0.6798679867986799,0.6530702886105688,300
M15,London,0.58,1212,824,0.6798679867986799,0.6530702886105688,300
M15,London,0.59,823,583,0.7083839611178615,0.6764210096504989,300
M15,London,0.6,823,583,0.7083839611178615,0.6764210096504989,300
M15,London,0.61,823,583,0.7083839611178615,0.6764210096504989,300
M15,London,0.62,823,583,0.7083839611178615,0.6764210096504989,300
M15,London,0.63,194,156,0.8041237113402062,0.7426020830201129,300
M15,London,0.64,120,99,0.825,0.7472429012735073,300
M15,London,0.65,120,99,0.825,0.7472429012735073,300
M15,London,0.66,120,99,0.825,0.7472429012735073,300
M15,London,0.67,120,99,0.825,0.7472429012735073,300
M15,London,0.68,120,99,0.825,0.7472429012735073,300
M15,London,0.69,120,99,0.825,0.7472429012735073,300
M15,London,0.7,120,99,0.825,0.7472429012735073,300
M15,London,0.71,120,99,0.825,0.7472429012735073,300
M15,London,0.72,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.73,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.74,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.75,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.76,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.77,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.78,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.79,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.8,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.81,103,86,0.8349514563106796,0.7514949670794417,300
M15,London,0.82,89,74,0.8314606741573034,0.7403744938895832,300
M15,London,0.83,21,17,0.8095238095238095,0.5999943530979507,300
M15,London,0.84,20,16,0.8,0.5839825677481065,300
M15,London,0.85,0,0,,,300
