tf,scope,thr,n,wins,wr,ci_lo,n_min
M15,NY,0.55,1060,632,0.5962264150943396,0.5663930506535984,300
M15,NY,0.56,579,355,0.613126079447323,0.5728338253285663,300
M15,NY,0.57,522,325,0.6226053639846744,0.5802690503207174,300
M15,NY,0.58,522,325,0.6226053639846744,0.5802690503207174,300
M15,NY,0.59,343,222,0.6472303206997084,0.5952860112067465,300
M15,NY,0.6,343,222,0.6472303206997084,0.5952860112067465,300
M15,NY,0.61,343,222,0.6472303206997084,0.5952860112067465,300
M15,NY,0.62,343,222,0.6472303206997084,0.5952860112067465,300
M15,NY,0.63,77,56,0.7272727272727273,0.6187910782504654,300
M15,NY,0.64,48,39,0.8125,0.6806013285071529,300
M15,NY,0.65,48,39,0.8125,0.6806013285071529,300
M15,NY,0.66,48,39,0.8125,0.6806013285071529,300
M15,NY,0.67,48,39,0.8125,0.6806013285071529,300
M15,NY,0.68,48,39,0.8125,0.6806013285071529,300
M15,NY,0.69,48,39,0.8125,0.6806013285071529,300
M15,NY,0.7,48,39,0.8125,0.6806013285071529,300
M15,NY,0.71,48,39,0.8125,0.6806013285071529,300
M15,NY,0.72,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.73,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.74,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.75,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.76,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.77,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.78,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.79,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.8,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.81,41,33,0.8048780487804879,0.6598641481293657,300
M15,NY,0.82,33,27,0.8181818181818182,0.6561176836533009,300
M15,NY,0.83,4,3,0.75,0.3006418425824019,300
M15,NY,0.84,4,3,0.75,0.3006418425824019,300
M15,NY,0.85,0,0,,,300
