tf,scope,thr,n,wins,wr,ci_lo,n_min
M15,GLOBAL,0.55,5118,3199,0.6250488472059398,0.6116966861398434,300
M15,GLOBAL,0.56,2636,1755,0.6657814871016692,0.6475441068218662,300
M15,GLOBAL,0.57,2636,1755,0.6657814871016692,0.6475441068218662,300
M15,GLOBAL,0.58,2636,1755,0.6657814871016692,0.6475441068218662,300
M15,GLOBAL,0.59,2636,1755,0.6657814871016692,0.6475441068218662,300
M15,GLOBAL,0.6,2636,1755,0.6657814871016692,0.6475441068218662,300
M15,GLOBAL,0.61,2539,1692,0.6664040961008271,0.6478249881812551,300
M15,GLOBAL,0.62,2480,1653,0.6665322580645161,0.6477323193198826,300
M15,GLOBAL,0.63,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.64,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.65,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.66,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.67,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.68,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.69,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.7,549,417,0.7595628415300546,0.7220906260904171,300
M15,GLOBAL,0.71,427,329,0.7704918032786885,0.7282993831665282,300
M15,GLOBAL,0.72,156,126,0.8076923076923077,0.7387540136654593,300
M15,GLOBAL,0.73,154,125,0.8116883116883117,0.7426409829839141,300
M15,GLOBAL,0.74,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.75,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.76,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.77,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.78,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.79,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.8,89,77,0.8651685393258427,0.7789609654865195,300
M15,GLOBAL,0.81,19,16,0.8421052631578947,0.6243452472967093,300
M15,GLOBAL,0.82,16,13,0.8125,0.5699111903802586,300
M15,GLOBAL,0.83,15,12,0.8,0.5481455128483065,300
M15,GLOBAL,0.84,1,1,1.0,0.20654931437723742,300
M15,GLOBAL,0.85,1,1,1.0,0.20654931437723742,300
