tf,scope,thr,n,wins,wr,ci_lo,n_min
M15,London,0.55,2447,1584,0.6473232529628116,0.6281744845531194,300
M15,London,0.56,1416,971,0.6857344632768362,0.6610802011223114,300
M15,London,0.57,1416,971,0.6857344632768362,0.6610802011223114,300
M15,London,0.58,1416,971,0.6857344632768362,0.6610802011223114,300
M15,London,0.59,1416,971,0.6857344632768362,0.6610802011223114,300
M15,London,0.6,1416,971,0.6857344632768362,0.6610802011223114,300
M15,London,0.61,1371,941,0.6863603209336251,0.6613088368336651,300
M15,London,0.62,1343,923,0.6872673119880863,0.6619680724341125,300
M15,London,0.63,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.64,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.65,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.66,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.67,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.68,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.69,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.7,308,236,0.7662337662337663,0.7158663047466732,300
M15,London,0.71,238,185,0.7773109243697479,0.7202853721800877,300
M15,London,0.72,93,78,0.8387096774193549,0.7507986045848927,300
M15,London,0.73,92,77,0.8369565217391305,0.7482715701531195,300
M15,London,0.74,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.75,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.76,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.77,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.78,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.79,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.8,56,50,0.8928571428571429,0.7853155482892853,300
M15,London,0.81,9,7,0.7777777777777778,0.45258896910698887,300
M15,London,0.82,7,5,0.7142857142857143,0.35893445183261935,300
M15,London,0.83,7,5,0.7142857142857143,0.35893445183261935,300
M15,London,0.84,1,1,1.0,0.20654931437723742,300
M15,London,0.85,1,1,1.0,0.20654931437723742,300
