tf,scope,thr,n,wins,wr,ci_lo,n_min
M15,NY,0.55,1115,674,0.6044843049327354,0.5754724251690809,300
M15,NY,0.56,577,364,0.6308492201039861,0.5907293273647495,300
M15,NY,0.57,577,364,0.6308492201039861,0.5907293273647495,300
M15,NY,0.58,577,364,0.6308492201039861,0.5907293273647495,300
M15,NY,0.59,577,364,0.6308492201039861,0.5907293273647495,300
M15,NY,0.6,577,364,0.6308492201039861,0.5907293273647495,300
M15,NY,0.61,555,352,0.6342342342342342,0.5933680175462138,300
M15,NY,0.62,535,338,0.6317757009345795,0.5901009695124401,300
M15,NY,0.63,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.64,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.65,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.66,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.67,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.68,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.69,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.7,115,85,0.7391304347826086,0.6520760909845816,300
M15,NY,0.71,91,69,0.7582417582417582,0.6609819026529659,300
M15,NY,0.72,26,18,0.6923076923076923,0.5001174167780164,300
M15,NY,0.73,25,18,0.72,0.5242339480963842,300
M15,NY,0.74,10,7,0.7,0.3967781474611453,300
M15,NY,0.75,10,7,0.7,0.3967781474611453,300
M15,NY,0.76,10,7,0.7,0.3967781474611453,300
M15,NY,0.77,10,7,0.7,0.3967781474611453,300
M15,NY,0.78,10,7,0.7,0.3967781474611453,300
M15,NY,0.79,10,7,0.7,0.3967781474611453,300
M15,NY,0.8,10,7,0.7,0.3967781474611453,300
M15,NY,0.81,1,1,1.0,0.20654931437723742,300
M15,NY,0.82,1,1,1.0,0.20654931437723742,300
M15,NY,0.83,1,1,1.0,0.20654931437723742,300
M15,NY,0.84,0,0,,,300
M15,NY,0.85,0,0,,,300
