tf,feature,delta_brier,delta_auc
H4,atr,0.002557672287107099,-0.026841566901278396
H4,hour,0.0012149761914582308,-0.014334273749824628
H4,high,0.0008244664125542783,-0.012188794765179062
H4,num_confs,0.0005114467663001679,-0.0020448519582573488
H4,conf_volume,0.00039982089607661087,-0.005795747446473876
H4,pattern_code,7.852838528779604e-05,-0.0032606849284717576
H4,close,2.1267701414327822e-05,0.015875067392412123
H4,conf_psych_level,1.8537869071535984e-05,-0.000816094415846319
H4,conf_bos_or_choch,0.0,0.0
H4,primary_score,-2.818284018110684e-05,3.415779794824214e-05
H4,regime_trend,-5.851245073532768e-05,0.0019313003596723444
H4,bias_bull,-5.967085791054594e-05,0.0027095442426569305
H4,conf_spread,-7.730978956969198e-05,0.0005262147251497151
H4,total_confluence,-0.00011504323264140831,0.000793014822637883
H4,conf_sr_zone,-0.00015522588428012324,-0.0011641346814277864
H4,score,-0.00026619555585283977,0.0028987969069652064
H4,secondary_score,-0.0005626498605112787,0.0007117746545445836
H4,low,-0.0006823232149426109,0.0003258838561014943
H4,conf_liquidity,-0.0013460484051096774,0.0027935539619352856
H4,dow,-0.0016017014723027287,0.024733938449494425
H4,conf_fib_zone,-0.0021056001609965486,0.019708126232450274
