tf,feature,delta_brier,delta_auc
M15,atr,0.010351896684318296,-0.04165295560214119
M15,pattern_code,0.008948829506165781,-0.016956430620489904
M15,conf_sr_zone,0.006299840885638591,-0.020712133505937674
M15,hour,0.0009370506642069343,-0.005567113002401813
M15,conf_volume,0.0006048242654779767,-0.0016424858133261
M15,bias_bull,0.0004101925160603648,-0.0009252425775496675
M15,high,0.0003968454531822485,-0.00182477616123769
M15,conf_liquidity,0.00033929148666811404,-0.001112163775181696
M15,dow,0.00018547933368272956,-6.064378910441981e-05
M15,conf_spread,6.910489179681734e-05,-0.00025406253556906067
M15,total_confluence,0.0,0.0
M15,conf_bos_or_choch,0.0,0.0
M15,conf_fib_zone,0.0,0.0
M15,secondary_score,-9.918974056555285e-07,-3.832117888852293e-05
M15,score,-9.58231625008965e-06,1.806270711382507e-05
M15,conf_psych_level,-2.2402796548776083e-05,8.71724553324904e-05
M15,regime_trend,-3.607358987486875e-05,3.364246508810731e-05
M15,primary_score,-3.943517818573439e-05,7.408761251764817e-05
M15,num_confs,-0.00018032483649477876,0.0003205038613388056
M15,close,-0.00041682249444980474,0.004163187745799962
M15,low,-0.0011335702291843039,0.003694036001637674
