exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced,tp_forced
295,293,LONG,2715.573,2610.46,-1051.1299999999983,3,True,True,False
149,148,LONG,2376.73,2293.799,-829.3100000000004,2,True,True,False
407,406,LONG,3112.884,3038.506,-743.7800000000016,2,True,True,False
279,275,LONG,2736.69,2664.048,-726.4200000000028,5,True,True,False
283,282,LONG,2685.605,2624.038,-615.6700000000001,2,True,True,False
315,311,LONG,2648.392,2588.225,-601.6699999999992,5,True,True,False
109,108,LONG,2386.483,2333.738,-527.4500000000035,2,True,True,False
478,475,LONG,3324.142,3274.598,-495.4399999999987,4,True,True,False
428,427,LONG,3317.122,3272.887,-442.3499999999967,2,True,True,False
376,375,LONG,2919.118,2876.063,-430.5499999999984,2,True,True,False
