exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced,tp_forced
278,276,SHORT,3310.255,3352.579,-423.2400000000007,3,True,True,False
183,182,LONG,3326.805,3287.534,-392.7099999999973,2,True,True,False
100,99,LONG,3456.705,3417.721,-389.8399999999992,2,True,True,False
34,33,LONG,3038.506,2999.944,-385.619999999999,2,True,True,False
102,101,LONG,3374.789,3336.561,-382.2800000000007,2,True,True,False
263,262,LONG,3296.983,3259.895,-370.8800000000019,2,True,True,False
204,203,SHORT,3142.318,3179.18,-368.61999999999625,2,True,True,False
48,47,SHORT,3004.464,3041.091,-366.2699999999995,2,True,True,False
328,327,SHORT,3346.168,3379.285,-331.16999999999734,2,True,True,False
149,148,LONG,3262.698,3231.601,-310.9699999999975,2,True,True,False
