duration,count,mean,min,sum
19,1,-32.150000000001455,-32.150000000001455,-32.150000000001455
9,1,-30.7300000000032,-30.7300000000032,-30.7300000000032
18,1,-16.12999999999829,-16.12999999999829,-16.12999999999829
13,1,-15.599999999999454,-15.599999999999454,-15.599999999999454
4,4,-13.9549999999997,-29.38000000000102,-55.8199999999988
5,3,-12.469999999998436,-27.590000000000146,-37.40999999999531
10,1,-8.230000000003201,-8.230000000003201,-8.230000000003201
11,1,-6.909999999998036,-6.909999999998036,-6.909999999998036
2,14,-5.398571428571423,-12.579999999998108,-75.57999999999993
8,1,-4.1600000000016735,-4.1600000000016735,-4.1600000000016735
3,7,-3.8714285714279737,-8.49999999999909,-27.099999999995816
