exit_bar,entry_bar,side,entry_price,exit_price,reward_pips,duration,forced,sl_forced,tp_forced
499,480,LONG,3394.286,3391.071,-32.150000000001455,19,True,False,False
158,150,LONG,3351.398,3348.325,-30.7300000000032,9,False,False,False
117,114,SHORT,3353.417,3356.355,-29.38000000000102,4,False,False,False
174,170,LONG,3350.395,3347.636,-27.590000000000146,5,False,False,False
411,394,LONG,3395.848,3394.235,-16.12999999999829,18,False,False,False
47,35,LONG,3353.374,3351.814,-15.599999999999454,13,False,False,False
118,117,LONG,3356.355,3355.097,-12.579999999998108,2,False,False,False
433,432,SHORT,3397.661,3398.811,-11.50000000000091,2,False,False,False
123,122,LONG,3353.732,3352.677,-10.549999999998365,2,False,False,False
393,390,LONG,3397.93,3396.883,-10.470000000000256,4,False,False,False
