datetime,timeframe,set,setup_grade,count,win_rate
,M5,train,A+,41527,0.0
,M5,train,A,23675,0.0
,M5,train,B,21052,0.0
,M5,train,num_confs_0,87,0.0
,M5,train,num_confs_1,4369,0.0
,M5,train,num_confs_2,16596,0.0
,M5,train,num_confs_3,23675,0.0
,M5,train,num_confs_4,20405,0.0
,M5,train,num_confs_5,12782,0.0
,M5,train,num_confs_6,5583,0.0
,M5,train,num_confs_7,2147,0.0
,M5,train,num_confs_8,588,0.0
,M5,train,num_confs_9,22,0.0
,M5,test,A+,6534,0.0
,M5,test,A,4569,0.0
,M5,test,B,4119,0.0
,M5,test,num_confs_0,19,0.0
,M5,test,num_confs_1,881,0.0
,M5,test,num_confs_2,3219,0.0
,M5,test,num_confs_3,4569,0.0
,M5,test,num_confs_4,3439,0.0
,M5,test,num_confs_5,1913,0.0
,M5,test,num_confs_6,807,0.0
,M5,test,num_confs_7,311,0.0
,M5,test,num_confs_8,61,0.0
,M5,test,num_confs_9,3,0.0
,M15,train,A+,35420,0.0
,M15,train,A,22637,0.0
,M15,train,B,23135,0.0
,M15,train,num_confs_0,409,0.0
,M15,train,num_confs_1,5560,0.0
,M15,train,num_confs_2,17166,0.0
,M15,train,num_confs_3,22637,0.0
,M15,train,num_confs_4,19123,0.0
,M15,train,num_confs_5,10659,0.0
,M15,train,num_confs_6,4020,0.0
,M15,train,num_confs_7,1351,0.0
,M15,train,num_confs_8,259,0.0
,M15,train,num_confs_9,8,0.0
,M15,test,A+,6657,0.0
,M15,test,A,3936,0.0
,M15,test,B,3736,0.0
,M15,test,num_confs_0,66,0.0
,M15,test,num_confs_1,907,0.0
,M15,test,num_confs_2,2763,0.0
,M15,test,num_confs_3,3936,0.0
,M15,test,num_confs_4,3308,0.0
,M15,test,num_confs_5,2064,0.0
,M15,test,num_confs_6,889,0.0
,M15,test,num_confs_7,326,0.0
,M15,test,num_confs_8,68,0.0
,M15,test,num_confs_9,2,0.0
,H1,train,A+,4825,0.0
,H1,train,A,5150,0.0
,H1,train,B,10352,0.0
,H1,train,num_confs_0,210,0.0
,H1,train,num_confs_1,4381,0.0
,H1,train,num_confs_2,5761,0.0
,H1,train,num_confs_3,5150,0.0
,H1,train,num_confs_4,3079,0.0
,H1,train,num_confs_5,1195,0.0
,H1,train,num_confs_6,476,0.0
,H1,train,num_confs_7,71,0.0
,H1,train,num_confs_8,4,0.0
,H1,test,A+,857,0.0
,H1,test,A,893,0.0
,H1,test,B,1838,0.0
,H1,test,num_confs_0,83,0.0
,H1,test,num_confs_1,761,0.0
,H1,test,num_confs_2,994,0.0
,H1,test,num_confs_3,893,0.0
,H1,test,num_confs_4,539,0.0
,H1,test,num_confs_5,232,0.0
,H1,test,num_confs_6,75,0.0
,H1,test,num_confs_7,9,0.0
,H1,test,num_confs_8,2,0.0
,H4,train,A+,769,0.0
,H4,train,A,1147,0.0
,H4,train,B,3588,0.0
,H4,train,num_confs_0,304,0.0
,H4,train,num_confs_1,1471,0.0
,H4,train,num_confs_2,1813,0.0
,H4,train,num_confs_3,1147,0.0
,H4,train,num_confs_4,527,0.0
,H4,train,num_confs_5,186,0.0
,H4,train,num_confs_6,53,0.0
,H4,train,num_confs_7,3,0.0
,H4,test,A+,130,0.0
,H4,test,A,202,0.0
,H4,test,B,640,0.0
,H4,test,num_confs_0,67,0.0
,H4,test,num_confs_1,250,0.0
,H4,test,num_confs_2,323,0.0
,H4,test,num_confs_3,202,0.0
,H4,test,num_confs_4,95,0.0
,H4,test,num_confs_5,28,0.0
,H4,test,num_confs_6,7,0.0
